barrio,id_barrio,number,rc_usd,night,collapsed,fatalities,losses,str_lr,col_lr,occ_lr,hom_lr,inj_lr
Urbanización Colseguros,1915.0,978.0,285504193,6016.0,0.07575478579,0.053116301438,570980,0.199989974261157,0.007745888117587,0.882917244647606,0.0,0.0
El Paraíso,1205.0,617.0,65621055,3765.0,0.02967280372,0.017224518516,89975,0.137113064242634,0.004809206437601,0.457490531633466,0.0,0.0
Compartir,2107.0,2173.0,74641293,11305.0,0.05365962219,0.02874394791,79051,0.105907237032925,0.002469379760239,0.254258716585582,0.0,0.0
Santa Elena,1004.0,1740.0,199167520,6713.0,0.09673804016,0.034916625217,294077,0.14765315775258,0.00555965748046,0.520134443870103,0.0,0.0
Sindical,1211.0,695.0,64730566,4378.0,0.0221774529,0.01403067826,70379,0.108725858938309,0.003191000417266,0.320481458656921,0.0,0.0
San Fernando Nuevo,1906.0,722.0,1149031768,2043.0,0.032091905409,0.0096229714877,921984,0.080240050374859,0.004444862245014,0.471021609774841,0.0,0.0
Los Lagos,1395.0,1876.0,105412359,8370.0,0.04947920808,0.0204380680778,103746,0.098418729618124,0.002637484439232,0.244182414310633,0.0,0.0
Colseguros Andes,1014.0,547.0,224262013,6313.0,0.027302202075,0.026710160258,283086,0.126230122852928,0.004991261805302,0.423097738919689,0.0,0.0
Villablanca,1314.0,597.0,33675497,3201.0,0.01691103864,0.0088409759105,36058,0.107073826180475,0.002832669788945,0.276194186519838,0.0,0.0
El Recuerdo,1108.0,297.0,34896929,1907.0,0.01901088897,0.013282174263,53293,0.15271494107579,0.006400972717172,0.696495766282119,0.0,0.0
